[1] "This is Two_stocks_Optimising_ftarget_in_shortcut_model"
    Fcod  Fhad
711 0.56 0.440
67  0.08 0.040
663 0.22 0.420
847 0.18 0.540
85  0.44 0.040
165 0.18 0.100
648 0.54 0.400
51  0.38 0.020
74  0.22 0.040
178 0.44 0.100
362 0.40 0.220
236 0.36 0.140
610 0.40 0.380
330 0.38 0.200
726 0.24 0.460
127 0.04 0.080
212 0.50 0.120
686 0.06 0.440
785 0.18 0.500
814 0.14 0.520
310 0.60 0.180
744 0.60 0.460
243 0.50 0.140
792 0.32 0.500
113 0.38 0.060
619 0.58 0.380
860 0.44 0.540
151 0.52 0.080
666 0.28 0.420
614 0.48 0.380
767 0.44 0.480
160 0.08 0.100
391 0.36 0.240
155 0.60 0.080
936 0.10 0.600
5   0.08 0.000
326 0.30 0.200
784 0.16 0.500
280 0.00 0.180
800 0.48 0.500
789 0.26 0.500
567 0.16 0.360
238 0.40 0.140
764 0.38 0.480
339 0.56 0.200
885 0.32 0.560
137 0.24 0.080
455 0.40 0.280
738 0.48 0.460
560 0.02 0.360
589 0.60 0.360
83  0.40 0.040
696 0.26 0.440
813 0.12 0.520
196 0.18 0.120
769 0.48 0.480
680 0.56 0.420
867 0.58 0.540
891 0.44 0.560
500 0.06 0.320
915 0.30 0.580
344 0.04 0.220
838 0.00 0.540
459 0.48 0.280
20  0.38 0.000
957 0.52 0.600
164 0.16 0.100
52  0.40 0.020
534 0.12 0.340
177 0.42 0.100
554 0.52 0.340
84  0.42 0.040
523 0.52 0.320
633 0.24 0.400
392 0.38 0.240
302 0.44 0.180
597 0.14 0.380
706 0.46 0.440
833 0.52 0.520
808 0.02 0.520
430 0.52 0.260
710 0.54 0.440
761 0.32 0.480
712 0.58 0.440
428 0.48 0.260
672 0.40 0.420
year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2022 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2023 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2024 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2025 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2026 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2027 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2028 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2029 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2030 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2031 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2032 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2033 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2034 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2035 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2036 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2037 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2038 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > 
year:  2039 
OPERATING MODEL > 
year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP HCR > MP HCR > MP HCR > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP HCR > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP HCR > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > MP HCR > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > MP HCR > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP HCR > MP HCR > MP HCR > MP HCR > OBSERVATION ERROR MODEL > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > year: MP STOCK ESTIMATION >  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > MP HCR > MP HCR > MP HCR > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > MP HCR > MP HCR > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP HCR > MP HCR > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > year:  2020 
OPERATING MODEL > MP HCR > MP HCR > MP HCR > MP HCR > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > MP HCR > OBSERVATION ERROR MODEL > MP HCR > MP HCR > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP HCR > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > MP HCR > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > year:  2020 
OPERATING MODEL > year:  2020 
OPERATING MODEL > MP HCR > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP HCR > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > year:  2020 
OPERATING MODEL > MP HCR > MP STOCK ESTIMATION > MP HCR > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > OBSERVATION ERROR MODEL > year:  2020 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP HCR > OBSERVATION ERROR MODEL > MP HCR > MP STOCK ESTIMATION > MP HCR > MP HCR > MP HCR > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > OBSERVATION ERROR MODEL > MP HCR > MP IMPLEMENTATION SYSTEM > MP HCR > MP HCR > MP STOCK ESTIMATION > MP IMPLEMENTATION SYSTEM > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > MP HCR > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > MP HCR > MP HCR > MP IMPLEMENTATION SYSTEM > MP STOCK ESTIMATION > MP IMPLEMENTATION SYSTEM > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > MP STOCK ESTIMATION > MP HCR > MP HCR > MP STOCK ESTIMATION > MP IMPLEMENTATION SYSTEM > MP STOCK ESTIMATION > MP HCR > MP STOCK ESTIMATION > MP HCR > MP IMPLEMENTATION SYSTEM > MP HCR > MP STOCK ESTIMATION > MP IMPLEMENTATION SYSTEM > MP HCR > MP IMPLEMENTATION SYSTEM > MP HCR > MP HCR > MP HCR > MP IMPLEMENTATION SYSTEM > MP HCR > MP HCR > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP HCR > MP HCR > MP HCR > MP HCR > MP HCR > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP HCR > MP HCR > MP IMPLEMENTATION SYSTEM > MP HCR > MP HCR > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP HCR > MP IMPLEMENTATION SYSTEM > MP HCR > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > 
year:  2021 
OPERATING MODEL > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > 
year:  2021 
OPERATING MODEL > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > 
year:  2021 
OPERATING MODEL > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > OBSERVATION ERROR MODEL > MP IMPLEMENTATION SYSTEM > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > 
MP STOCK ESTIMATION > year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > MP IMPLEMENTATION SYSTEM > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > 
year:  2021 MP STOCK ESTIMATION > 
MP STOCK ESTIMATION > OPERATING MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > MP HCR > 
year:  2021 
OPERATING MODEL > MP HCR > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP HCR > MP STOCK ESTIMATION > MP HCR > MP HCR > MP HCR > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > MP HCR > OBSERVATION ERROR MODEL > MP HCR > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > MP HCR > MP STOCK ESTIMATION > MP HCR > OBSERVATION ERROR MODEL > MP HCR > MP HCR > 
year:  2021 
OPERATING MODEL > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP HCR > MP STOCK ESTIMATION > MP HCR > 
year:  2021 
OPERATING MODEL > MP HCR > 
year:  2021 
OPERATING MODEL > MP HCR > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > MP HCR > MP HCR > OBSERVATION ERROR MODEL > MP HCR > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > MP HCR > 
year:  2021 
OPERATING MODEL > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP HCR > MP STOCK ESTIMATION > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > OBSERVATION ERROR MODEL > MP HCR > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > MP HCR > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > 
year:  2021 
OPERATING MODEL > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > 
year:  2021 
OPERATING MODEL > MP HCR > MP HCR > MP HCR > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > 
year:  2021 
OPERATING MODEL > OBSERVATION ERROR MODEL > MP STOCK ESTIMATION > MP STOCK ESTIMATION > MP HCR > 
year:  2021 
OPERATING MODEL > MP HCR > 
year:  2021 
OPERATING MODEL > MP STOCK ESTIMATION > MP HCR > OBSERVATION ERROR MODEL > OBSERVATION ERROR MODEL > MP HCR > MP HCR > MP STOCK ESTIMATION > MP STOCK ESTIMATION > 
year:  2021 
